date,close,open_yesterday,high_yesterday,low_yesterday,close_yesterday,volume_yesterday,trades_yesterday,open_1D_change,high_1D_change,low_1D_change,close_1D_change,volume_1D_change,trades_1D_change,open_average_7D,high_average_7D,low_average_7D,close_average_7D,volume_average_7D,trades_average_7D,open_%change_7D,high_%change_7D,low_%change_7D,close_%change_7D,volume_%change_7D,trades_%change_7D,moving_average_9,moving_average_20,moving_average_50
2022-03-27,46855.2,44315.5,44800.0,44135.1,44548.0,1165.03671815,26378.0,0.007422310122985332,-0.006761999778295058,0.012161505155395602,0.00524647132493139,-0.6811739095936503,-0.49535106179452837,42587.25714285714,43492.24285714286,42079.97142857143,42920.55714285715,2411.9234517957148,30214.571428571428,0.010466463531149883,0.00918766222689192,0.011895813821340766,0.008616416306067798,0.1376703087466409,0.1683124957320389,42715.22222222222,40950.22,41067.736000000004
2022-03-28,47137.9,44547.2,46976.1,44439.4,46855.2,1895.85174777,21268.0,0.005228418950480096,0.048573660714285705,0.006894739107875747,0.051791326209930766,0.6272892675695965,-0.1937220410948518,42920.0,44159.08571428571,42579.17142857143,43715.728571428575,2401.717831181428,30032.571428571428,0.0086041279911953,0.008184572796759104,0.008803368572759682,0.007851339448069832,0.11143934717224893,0.16161644049938242,43279.677777777775,41391.78,41176.46
2022-03-29,47440.2,46855.3,48200.0,46683.5,47137.9,3417.2216237399,59916.0,0.05181245959342018,0.0260536741023627,0.05049798152090257,0.006033481876077884,0.8024730191901424,1.8171901448185066,43715.6,45105.88571428571,43461.08571428571,44590.52857142857,2610.7565650557144,35375.0,0.007848912489401403,0.015364349022002058,0.011826076885191264,0.018393647772653305,0.1274248699748174,0.08494403350523723,43826.333333333336,41811.045,41270.828
2022-03-30,47059.3,47138.3,48123.0,46912.5,47440.2,1877.20497352,27843.0,0.006039871690075582,-0.0015975103734440221,0.004905373418873982,0.006413098589457711,-0.4506633808943489,-0.5352994191868616,44590.45714285714,45780.22857142857,44317.68571428572,45313.72857142857,2402.2222569357,34684.42857142857,0.018404052880145412,0.021570792131840193,0.020557440747422336,0.020206017145268547,0.24303261637919846,0.3446883852834973,44509.799999999996,42084.79,41342.288
2022-03-31,45524.3,47440.3,47707.9,46570.6,47059.3,1737.31775671,25601.0,0.0064066799184527845,-0.008625813020800788,-0.007288036237676598,-0.008029055526747264,-0.0745188824786106,-0.08052293215529938,45313.68571428571,46451.27142857143,44997.614285714284,45906.44285714285,2335.0002439999857,34063.71428571428,0.020207367335628446,0.015053376249293942,0.019825761373410584,0.016372959439881467,0.0775386892490252,0.20377621828376416,45181.46666666667,42465.965000000004,41401.892
2022-04-01,46312.0,47079.2,47598.0,45250.0,45524.3,2320.05234427,30068.0,-0.0076116719329347715,-0.0023036017095701133,-0.028356946227877655,-0.032618419738500104,0.3354219948016526,0.1744853716651693,45909.25714285714,46930.0,45370.84285714286,46125.77142857143,2295.2614314214143,34763.42857142857,0.016373740987812475,0.015111362531167087,0.015660465471038325,0.013430874165781117,0.11522961513223676,0.2042123142095192,45531.07777777778,42805.575,41423.978
2022-04-02,45828.6,45523.5,46710.9,44257.6,46312.0,4181.29834325,36546.0,-0.03304431681082087,-0.01863733770326481,-0.02193149171270725,0.01730284705091556,0.802243106099245,0.21544499135293327,46128.47142857143,47159.41428571429,45464.09999999999,46410.985714285714,2370.569072487129,32517.14285714286,0.013491277705498786,0.010675979852446569,0.008786231067705184,0.0051798875511622445,0.13788987147488263,0.25192266398141894,45909.044444444444,43181.925,41479.468
2022-04-03,46423.4,46312.0,47200.0,45666.1,45828.6,1420.1895203,22824.0,0.017320724460992754,0.010470789473120856,0.03182504247857998,-0.010437899464501688,-0.6603472405664006,-0.3754720078804794,46413.68571428571,47502.27142857143,45682.81428571429,46593.92857142857,2407.0194727942717,32009.428571428572,0.005179107361665476,0.005243010318753373,0.0024118750035409136,0.006591392826580849,0.19443874495628952,0.1288892933721524,46113.444444444445,43583.935000000005,41548.036
2022-04-04,46617.1,45828.6,47444.9,45566.0,46423.4,1245.97997739,20620.0,-0.010437899464501688,0.005188559322033992,-0.002191998002894935,0.012978794901000734,-0.12266640502543635,-0.09656501927795302,46596.74285714286,47569.24285714286,45843.75714285715,46532.24285714285,2314.1806484542712,31916.85714285714,0.006593166552809393,0.007704837354669932,0.005220951763995825,0.004350768428090409,0.19741398338875377,0.14601487250273082,46347.65555555556,43920.645,41631.684
2022-04-05,45479.2,46424.2,46888.0,45153.0,46617.1,1910.97459708,23949.0,0.012996251249219881,-0.011737826404945584,-0.00906377562217442,0.004172464748381177,0.5337121235952673,0.16144519883608144,46535.15714285714,47381.81428571429,45625.11428571429,46457.84285714286,2099.0025017885714,26778.714285714286,0.004355121064954852,0.001506965727205402,0.003922846462457156,-0.001193878901756738,0.09027745873232051,0.1598944470480021,46577.555555555555,44285.23,41722.774
