date,year,month,day,open,high,low,close,volume,trades,open_yesterday,high_yesterday,low_yesterday,close_yesterday,volume_yesterday,trades_yesterday,open_1D_change,high_1D_change,low_1D_change,close_1D_change,volume_1D_change,trades_1D_change,open_average_7D,high_average_7D,low_average_7D,close_average_7D,volume_average_7D,trades_average_7D,open_%change_7D,high_%change_7D,low_%change_7D,close_%change_7D,volume_%change_7D,trades_%change_7D,moving_average_9,moving_average_20,moving_average_50
2022-02-06,2022,2,6,41419.0,42694.5,41141.9,42419.5,1818.07180806,22192,41597.2,41926.4,40883.7,41419.0,2211.15688361,24916.0,0.11448037873449723,0.0036482022310528883,0.10276232066224478,-0.004003799401233632,-0.48216299989424005,-0.25590562938629235,38454.1,39486.02857142857,37561.985714285714,38913.47142857143,2546.1640972171567,24163.85714285714,0.0008173010628098133,0.014606937167054714,0.0038557765575224978,0.014937248781516017,0.27593906116845446,0.09605844408972479,38699.677777777775,38541.509999999995,42981.334
2022-02-07,2022,2,7,42426.1,44528.6,41697.4,43867.2,4604.6818396703,39555,41419.0,42694.5,41141.9,42419.5,1818.07180806,22192.0,-0.004283942188416434,0.01832019920622807,0.006315475360596068,0.024155580772109442,-0.1777734897345853,-0.1093273398619361,38915.62857142858,40105.52857142857,38098.114285714284,39554.81428571429,2657.6555887985855,25265.85714285714,0.014989656379225605,0.01242283863732095,0.014178393159930271,0.012748865290482882,0.2566923650112608,0.0854635206173798,39219.85555555556,38550.08,42892.43800000001
2022-02-08,2022,2,8,43873.1,45500.0,42709.6,44079.1,3432.44974988,35663,42426.1,44528.6,41697.4,43867.2,4604.6818396703,39555.0,0.024314927931625485,0.042958694913864726,0.013502050221307238,0.034128172184962,1.5327282559778501,0.7823990627253063,39560.21428571428,40925.9,38816.67142857143,40319.82857142857,2955.320381315771,27538.714285714286,0.012664243584295774,0.01637377865154615,0.014646387686042333,0.017078555378231726,0.28884675334187687,0.11073108152750404,39853.444444444445,38624.28999999999,42836.013999999996
2022-02-09,2022,2,9,44083.1,44831.0,43187.2,44420.0,3210.42939961,27148,43873.1,45500.0,42709.6,44079.1,3432.44974988,35663.0,0.03410636377135767,0.021815192932183036,0.02427489483756773,0.004830488383120057,-0.2545739598534853,-0.09839464037416257,40326.08571428571,41813.04285714286,39482.32857142857,41085.42857142857,2969.0969928514714,28753.285714285714,0.017163923038591218,0.020916729719701124,0.019331983356749367,0.01976200649260424,0.30357948210674696,0.13204986697672733,40536.666666666664,38743.935,42779.634000000005
2022-02-10,2022,2,10,44420.1,45900.0,43228.0,43537.5,5478.5708455002,39399,44083.1,44831.0,43187.2,44420.0,3210.42939961,27148.0,0.004786532066345828,-0.014703296703296731,0.01118249761177803,0.007733823966460385,-0.06468276783302129,-0.23876286347194575,41092.04285714286,42663.357142857145,40423.357142857145,42159.24285714286,3038.330174408614,29118.571428571428,0.019783041027525768,0.022176845936405423,0.017413584254611498,0.019681261003930577,0.22102964452749774,0.09675070211766879,41193.1,38930.590000000004,42689.516
2022-02-11,2022,2,11,43537.5,43944.9,42000.0,42400.2,3361.3901286201,32725,44420.1,45900.0,43228.0,43537.5,5478.5708455002,39399.0,0.007644652939561958,0.02384510718029942,0.000944724362774263,-0.019867176947320986,0.7064916132918955,0.45126712833357896,42163.27142857143,43879.21428571428,41417.385714285716,43046.82857142857,3575.049543177214,31765.428571428572,0.019690078993202915,0.021571484603196196,0.02445504862152779,0.02748844206807496,0.23792036751418447,0.07615900217625322,41728.38888888889,39284.045,42587.768
2022-02-12,2022,2,12,42400.1,43038.2,41760.6,42241.0,1939.69954808,22706,43537.5,43944.9,42000.0,42400.2,3361.3901286201,32725.0,-0.01986938345478728,-0.04259477124183009,-0.02840751364856109,-0.026122308354866508,-0.3864476296074618,-0.16939516231376428,43050.87142857142,44189.34285714286,42121.114285714284,43163.21428571428,3445.2500935643716,31656.85714285714,0.02742264940769485,0.03045208333214517,0.025878846090995142,0.023020144842468455,0.3914804108024805,0.16223642860317503,42339.15555555555,39650.675,42419.39599999999
2022-02-13,2022,2,13,42241.1,42768.5,41893.1,42062.6,1124.71740372,17169,42400.1,43038.2,41760.6,42241.0,1939.69954808,22706.0,-0.026124605225380404,-0.020632655894085694,-0.005700000000000038,-0.003754699270286377,-0.4229472111657937,-0.30615737203972493,43165.57142857143,44348.17142857142,42246.385714285716,43280.642857142855,3406.470474202943,31341.14285714286,0.023025647114312067,0.0076127612169287606,0.018653492772529572,0.0029792543718901087,0.1247970031924217,0.05169722223582612,42885.444444444445,39948.85,42247.53
2022-02-14,2022,2,14,42062.5,42852.0,41573.1,42563.5,1918.26713617,23017,42241.1,42768.5,41893.1,42062.6,1124.71740372,17169.0,-0.0037499911556811982,-0.0062665260164225245,0.003172847133422474,-0.004223384863047741,-0.42015895975575457,-0.2438562494494847,43283.014285714286,44358.74285714285,42353.7,43229.65714285714,3307.419845011514,30623.571428571428,0.002939220834329546,0.00414406719905182,0.0031588755350660286,0.0030148401048825735,0.13325640158219973,0.04451840185676432,42938.455555555556,40217.005,42080.062000000005
2022-02-15,2022,2,15,42563.4,44770.8,42469.6,44563.1,2190.91991458,24372,42062.5,42852.0,41573.1,42563.5,1918.26713617,23017.0,-0.004228109589949125,0.0019523714883618037,-0.00763848939324141,0.011908441228074329,0.7055547729814939,0.34061389714019463,43231.07142857143,44119.22857142857,42335.94285714285,43043.41428571428,2923.646315940043,28261.0,0.003015499553291723,0.0006316778815303062,0.0027099286454698008,-0.001039297842997024,0.09862990586488983,0.025299986201400233,43065.62222222222,40495.79,41915.386
